property_code,property,comp,link
,Walnut Ridge Apartments,Summer House,https://www.apartments.com/summer-house-apartment-homes-corpus-christi-tx/w1sfjbj/
,Walnut Ridge Apartments,Copper Ridge,https://www.apartments.com/copper-ridge-corpus-christi-tx/z2mqz0x/
,Walnut Ridge Apartments,Breakers,https://www.apartments.com/breakers-corpus-christi-tx/lr4ebbd/
,Walnut Ridge Apartments,Stoneleigh Apartments,https://www.apartments.com/stoneleigh-corpus-christi-tx/cdfew8e/
,Walnut Ridge Apartments,Saratoga Cove,https://www.apartments.com/saratoga-cove-apartments-corpus-christi-tx/r287tb3/
,Walnut Ridge Apartments,Country Club Manor,https://www.apartments.com/country-club-manor-corpus-christi-tx/910b655/
,Palisades,Pinnacle Heights,https://www.apartments.com/pinnacle-heights-rogers-ar/2bbfxe8/
,Palisades,Promenade Commons,https://www.apartments.com/promenade-commons-rogers-ar/1djtdf7/
,Palisades,The Pointe Bentonville,https://www.apartments.com/the-pointe-at-bentonville-bentonville-ar/w6g2p4k/
,Palisades,The Ranch at Pinnacle Point,https://www.apartments.com/the-ranch-at-pinnacle-point-rogers-ar/v8rb49d/
,Palisades,Uptown Terrace,https://www.apartments.com/uptown-terrace-apartments-rogers-ar/tkyg8sb/
